program,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with
Electrical Engineering,Manufacturing,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers
Electrical Engineering,Finance,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Electrical Engineering,Research,The Robot,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers
Electrical Engineering,Software Development,The Internet,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People
Electrical Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Electrical Engineering,Software Development,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Electrical Engineering,Finance,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Environmental Engineering,Research,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Environmental Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers
Environmental Engineering,Construction,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Environmental Engineering,Construction,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Environmental Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Machinery
Environmental Engineering,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Machinery
Environmental Engineering,Construction,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Construction,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Environmental Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Construction,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Research,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers
Environmental Engineering,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Research,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Research,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Construction,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Research,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Environmental Engineering,Construction,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Geological Engineering,Finance,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Geological Engineering,Research,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Geological Engineering,Research,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Geological Engineering,Construction,The Automobile,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Geological Engineering,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Geological Engineering,Construction,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Geological Engineering,Finance,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Geological Engineering,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Finance,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Software Development,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Computers
Management Engineering,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Software Development,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Finance,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Management Engineering,Software Development,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Manufacturing,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Finance,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Manufacturing,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Machinery
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Management Engineering,Software Development,The Internet,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Software Development,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Construction,The CN Tower,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Software Development,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Research,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Finance,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Management Engineering,Research,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Research,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Construction,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Management Engineering,Manufacturing,The Internet,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Management Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Manufacturing,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Research,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Finance,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Construction,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Manufacturing,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers
Management Engineering,Finance,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Management Engineering,Software Development,The Automobile,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Management Engineering,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Manufacturing,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers
Management Engineering,Manufacturing,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Business Processes
Management Engineering,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Finance,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Business Processes
Management Engineering,Manufacturing,The Robot,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Manufacturing,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Finance,The Automobile,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Finance,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Business Processes
Management Engineering,Manufacturing,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Business Processes
Management Engineering,Finance,The Robot,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Finance,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People
Management Engineering,Finance,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A microchip that is smaller than usual but twice as powerful as before,People
Management Engineering,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Management Engineering,Finance,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Management Engineering,Manufacturing,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Management Engineering,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
